tweet_id,text,label,label_str,topic,split
1397101600460529665,"Countries which have Banned Twitter

🇨🇳 China
🇮🇷 Iran
🇰🇵 North Korea
🇹🇲 Turkmenistan 

Modi's Ghulam Bhakts want to #BanTwitterInIndia &amp; make India join this list! 

Why not just declare India as an authoritarian regime and drop the facade of democracy?

#IStandWithTwitterInd",1,HOF,bantwitter,train
1397101827116703744,"@srivatsayb #IStandWithTwitterIndia
Our beloved Bird app 💜🤧",0,NONE,bantwitter,train
1397101939674869763,"@srivatsayb Srivatsa in that case just say once Corona is from China ? 

Hai Dum 🤣🤣🤣",1,HOF,bantwitter,train
1397102700173488133,"@Lawyer_Sandeep @srivatsayb That's a fact
There nothing to say differently",1,HOF,bantwitter,train
1397102906004754433,@Lawyer_Sandeep @srivatsayb Corona is from china. Now ask your feku to make red eye on china.,1,HOF,bantwitter,train
1397109126577197061,@Lawyer_Sandeep @srivatsayb corona is from china. then what💁,0,NONE,bantwitter,train
1397112846085853186,@Lawyer_Sandeep @srivatsayb Corona is from China and you mom is from bejing,1,HOF,bantwitter,train
1397115375985127426,@Lawyer_Sandeep @srivatsayb Boss ko galat kaise bolega? Dhandha paani bandh ho jayega,1,HOF,bantwitter,train
1397182212055859202,@Lawyer_Sandeep @srivatsayb Some paid Troller will lose their jobs..this will lead to further unemployment n then again it's Modis fault ...not Andoolanjeevis😂,0,NONE,bantwitter,train
1397104098885849091,"@Lawyer_Sandeep First tell ur modi papa to Utter ""china'' for once from his guttermouth.. He will piss under his pants if even try for that",1,HOF,bantwitter,train
1397417268569509890,@Eswar1114 @Lawyer_Sandeep @srivatsayb It matters because India didn't create Cholera intentionally and didn't ever try to cover up it's spread until it was too late. Intentions matter a lot but not to you of course as you are here to defend China not CCP to be more specific. Good luck!,0,NONE,bantwitter,train
1397160609704153088,@Lawyer_Sandeep @srivatsayb Abe pakode chap lawyer Apne baap Modi se pooch na jaake..kya ukaad liye china ka..Salle bhagode darpok ke aulad,1,HOF,bantwitter,train
1397240026866536451,@Lawyer_Sandeep @srivatsayb इनका धंधा पानी तो चीन ही चला रहा है क्यों बोलेंगे ये,1,HOF,bantwitter,train
1397140535169544194,@Lawyer_Sandeep @srivatsayb Namazi hai ye bolega to papa ko kharab lag kayega,1,HOF,bantwitter,train
1397102089407397890,"@srivatsayb Sir, we need your strong voice for lakshadweep, please stay together and raise your voice..🙏🏼

#SaveLakshadweep
#StandWithLakshadweep https://t.co/LJjV7EKto1",0,NONE,bantwitter,train
1397818628746080256,@sptweetz @srivatsayb Ram Rajya us coming to lakshya dweep. Secularists are scared.,0,NONE,bantwitter,train
1397107463212597249,"@sptweetz @srivatsayb ✅✅दोस्तो अपने रिस्क पे यह वीडियो देखना , इसके पहले की ये वीडियो डिलीट हो जाये....

https://t.co/Bi0yR9Zqrg

Snake Man of Pune !!✅✅",0,NONE,bantwitter,train
1397102193069617154,@srivatsayb @southcongressi Ghulam Bhakths !!!!,1,HOF,bantwitter,train
1397102220806541317,@srivatsayb @srivatsayb  I guess Russia too . Not sure,0,NONE,bantwitter,train
1397102872555188227,@shalluchandla @srivatsayb Sorry! You can use twitter in China with proxy applications. But officially for common citizens- it's banned.,0,NONE,bantwitter,train
1397102373282095111,"@srivatsayb Twitter is best of all app

#IStandWithTwitterIndia 

Modi want to control it to win election by spreading fake propeganda",0,NONE,bantwitter,train
1397246116236824583,"@Ranjanbkr @srivatsayb #BanTwitterInIndia
#BanTwitterInIndia
#BanTwitterInIndia
#BanTwitterInIndia
#BanTwitterInIndia
#BanTwitterInIndia
#BanTwitterInIndia
#BanTwitterInIndia",1,HOF,bantwitter,train
1397102498708541440,"@srivatsayb Twitter has empowered many journalists, doctors, professionals &amp; even common citizens to raise their voice, the world should be grateful to @TwitterIndia .",0,NONE,bantwitter,train
1397145901953552385,@AroraGirish @srivatsayb @TwitterIndia And it's the most propagandist platform as well that why need for nodal officers required,0,NONE,bantwitter,train
1397212890273402881,@AroraGirish @srivatsayb @TwitterIndia Are you serious 😂😂😂,1,HOF,bantwitter,train
1397236212088414215,@AroraGirish @srivatsayb @TwitterIndia They can raise their voices in other platforms too.,0,NONE,bantwitter,train
1397450054596800514,@AroraGirish @srivatsayb @TwitterIndia Sure you can raise your voice. But they are very selective on taking action,0,NONE,bantwitter,train
1397816487688105989,@AroraGirish @srivatsayb @TwitterIndia They have also empowered anarchists. If China can live without Twitter why can't India,0,NONE,bantwitter,train
1397111325604552705,"@AroraGirish @srivatsayb Lol, you should be saying ""Twitter has empowered  many marxists, left funded journalists, communists &amp; many andh-virodhis in India, the radials leftists in this world should be gratefull to @TwitterIndia",1,HOF,bantwitter,train
1397138467402883073,"@AroraGirish @srivatsayb @TwitterIndia Ohh is it?? 2006 se pehle jaise sab ghass charne gaye the ??. These social media platforms are the tools for spreading fake news, rumours propagandas and students ko barbaad kar diya hai. If they don't comply, they should be banned.",1,HOF,bantwitter,train
1400902978970832900,@AroraGirish @srivatsayb @TwitterIndia They also help to censor the truth about the origin of the China virus 🤔,0,NONE,bantwitter,train
1397102580556312580,"@srivatsayb What is the opposition doing?
https://t.co/r5TvFTbdn2",0,NONE,bantwitter,train
1397104943774027779,@ShyantSao @srivatsayb Why now new rules  ..... why not before ..... bcoz now it’s been exposed I believe,1,HOF,bantwitter,train
1397102834273841152,"@srivatsayb I don't understand what is the criminal offence in labelling some tweet of someone as ""manipulated media"". It seems, Delhi Police have become habitual to be a laughing stock for the country and internationally. Clearly, the government is scared to be in a self destructive mode.",0,NONE,bantwitter,train
1397104386308902912,@optimusprime699 @srivatsayb As if every wrong is taking place on social media only nothing happening on the ground.. Right? @DelhiPolice,0,NONE,bantwitter,train
1397573787965591554,@optimusprime699 @srivatsayb Delhi police is just a puppet,0,NONE,bantwitter,train
1397102882353156096,"@srivatsayb Country that funded congress party and signed secret MOU with them.

🇨🇳",0,NONE,bantwitter,train
1397107873075761154,"@BurnItDownSan @srivatsayb Oh I think u were there when they funded Congress? 
Nice 👏.. Be like this
Btw.. I forgot to tell u  .. 2 rs has been credited in ur a/c!!",1,HOF,bantwitter,train
1397200455508320263,@BurnItDownSan @srivatsayb Yes I voted for BJP only to watch people blaming Congress for everything! Totally worth it.,0,NONE,bantwitter,train
1397240220286922756,@BurnItDownSan @srivatsayb Yeh kaha se pada? Whatsapp university se?😂😂,1,HOF,bantwitter,train
1397103917335408643,@srivatsayb If Twitter not follow Indian laws then ban Twitter in India,0,NONE,bantwitter,train
1397105448382173184,@AJAYGROY1 @srivatsayb deactivate uncle !,1,HOF,bantwitter,train
1397169215962980355,@AJAYGROY1 @srivatsayb Kal India ne tere bhen ko cho*ne ka law banaya toh tu woh bhi follow karega na?,1,HOF,bantwitter,train
1397104737506320385,"@srivatsayb Feku will be in tension over losing  20 million followers and 48 million Bots if he bans Twitter!! 

Amit Malware will be doubly tensed as he will have to work double shifts to recreate all those bots in KOOAPP !!! 

I DONT think self loving feku will go for the ban.",1,HOF,bantwitter,train
1397159526260895751,@MovidMukt_India @srivatsayb Kaash tere sochne k hisab se duniya chalti 😂😂,1,HOF,bantwitter,train
1397106608547647490,@srivatsayb CONgress' gulam dog always has to bark for every decision taken by GOI.,1,HOF,bantwitter,train
